DATE	00h	01h	02h	03h	04h	05h	06h	07h	08h	09h	10h	11h	12h	13h	14h	15h	16h	17h	18h	19h	20h	21h	22h	23h	00h	01h	02h	03h	04h	05h	06h	07h	08h	09h	10h	11h	12h	13h	14h	15h	16h	17h	18h	19h	20h	21h	22h	23h
01.01.2014	10	9	10	10	10	10	10	10	10	10	10	9	9	9	9	10	9	9	10	7	8	8	8	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
02.01.2014	9	7	8	9	10	10	11	9	10	11	12	11	12	10	10	11	11	11	11	8	8	9	9	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.1	
03.01.2014	10	8	8	8	9	8	9	7	7	7	8	8	9	7	9	11	12	13	14	12	13	13	14	13	0.3	0.2	0.3	0.1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.2	0.2	
04.01.2014	14	12	15	16	16	16	15	13	13	12	10	9	9	7	8	9	10	11	12	10	14	16	16	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.3	
05.01.2014	17	16	14	12	11	11	11	8	11	11	11	11	11	9	10	11	11	12	11	11	12	11	10	11	1.2	1	1	1.1	1	0.7	0.1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.5	0.8	0.7	0.3	-1	
06.01.2014	11	8	8	9	9	9	9	8	9	10	11	11	10	9	9	13	13	13	14	10	11	11	11	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.5	1.6	
07.01.2014	12	11	11	13	15	17	16	14	15	14	14	11	11	9	11	12	12	13	13	9	11	13	13	13	1.3	0.1	0.6	1.7	1.8	0.4	-1	0.2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
08.01.2014	13	11	11	11	11	13	13	10	12	14	16	18	19	14	17	18	20	20	17	16	15	15	14	13	-1	-1	-1	-1	-1	0.3	0.8	1	0.6	0.3	0.9	0.2	-1	0.9	0.5	0.2	0.8	-1	-1	-1	-1	-1	-1	-1	
09.01.2014	12	11	10	9	9	8	9	8	10	12	13	14	17	10	16	18	17	20	21	14	22	23	24	23	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.2	0.3	0.7	0.8	0.1	
10.01.2014	24	21	25	26	24	24	24	25	25	25	25	25	25	22	25	24	23	22	21	20	20	20	20	19	0.7	0.1	0.2	-1	-1	-1	-1	0.5	0.1	0.1	-1	0.1	0.1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
